AlertId,CreatedBy,Title,Message,SentAt,Audience,Status,Priority
25,44,Mobile App Outage,Account activity alert,3/16/2023,Loyalty Members,Open,Low
26,71,Auto-Reload Changes,Redeem your coins for special items,9/11/2023,Support Team.,Escalated,High
27,13,Promo Code Alert,You're close to earning a reward!,7/23/2024,Customers,Escalated,High
28,35,Holiday Schedule,Your membership level has been upgraded,2/14/2025,Inactive Users,Escalated,Low
29,56,Delivery Area Expansion,New merchant partners added,1/21/2025,Employees,Open,High
30,19,Scheduled Downtime,You're close to earning a reward!,7/18/2024,Merchants,Awaiting Customer Response,High
31,23,Scheduled Downtime,Your favorite item is back!,5/7/2024,Merchants,Closed,Low
32,28,Auto-Reload Changes,Your membership level has been upgraded,5/28/2023,New Users,Dismissed,Medium
33,60,Server Optimization,Upcoming service outage notice,10/20/2024,Employees,Resolved,Low
34,12,Email Preferences Update.,New rewards program launched,11/13/2023,Beta Testers,Open,Medium
35,37,Account Verification Notice,Your feedback matters – take our survey,4/5/2025,Support Team.,Awaiting Customer Response,Low
36,79,App Version Release,Community spotlight: Featured merchants,5/17/2024,Support Team.,Awaiting Customer Response,Medium
37,1,Point Redemption Changes,New rewards program launched,6/20/2024,New Users,Open,Low
38,80,Email Preferences Update.,Stay safe: Avoid phishing scams,12/4/2024,Support Team.,Resolved,High
39,21,Feature Testing Phase,Enjoy faster checkout with saved cards,5/30/2023,Merchants,Awaiting Customer Response,Low
40,8,System Maintenance,CafeCoin turns one – celebrate with us!,1/3/2025,Loyalty Members,Resolved,Low
41,40,Payment System Upgrade,We've updated our terms of service,11/2/2023,Admins,Escalated,Low
42,55,Auto-Reload Changes,New amenities added near you,9/4/2024,Merchants,On Hold,Low
43,14,Scheduled Downtime,You're close to earning a reward!,8/13/2024,Admins,Closed,Medium
44,36,Feedback Survey Launch,Earn double coins this weekend,7/14/2024,Beta Testers,Escalated,High
45,72,New Feature Launch,Order ahead and skip the line.,10/18/2023,Inactive Users,Escalated,Medium
46,70,Point Redemption Changes,Exclusive event invite,4/23/2024,New Users,Dismissed,Low
47,66,Service Interruption Notice,New merchant partners added,7/1/2024,Merchants,Awaiting Customer Response,Low
48,15,Email Preferences Update.,CafeCoin turns one – celebrate with us!,4/23/2024,Merchants,Dismissed,Low
49,73,System Maintenance,Your account summary is ready,6/19/2023,Inactive Users,Dismissed,Medium
50,75,Transaction Delay Alert,CafeCoin turns one – celebrate with us!,8/5/2023,Support Team.,Open,High
51,34,App Version Release,New merchant partners added,11/29/2023,Support Team.,Awaiting Customer Response,High
52,17,Holiday Schedule,Your order has shipped,6/10/2024,Inactive Users,Awaiting Customer Response,High
53,63,Coin Balance Adjustment,Enjoy faster checkout with saved cards,2/15/2024,Employees,Open,High
54,27,Reward Limit Update,Security settings changed,6/22/2023,All Users,Escalated,Medium
55,18,Loyalty Program Update,Try our seasonal drinks!,9/6/2023,Support Team.,Dismissed,High
56,24,New Feature Launch,Welcome to CafeCoin!,1/16/2024,Employees,Awaiting Customer Response,Low
57,50,Temporary Feature Suspension,New dashboard tools for merchants,1/30/2024,Inactive Users,Awaiting Customer Response,Medium
58,78,App Version Release,Faster support now available,7/23/2023,Inactive Users,Open,Medium
59,10,Menu Update,Earn double coins this weekend,5/13/2024,All Users,Escalated,Low
60,74,Point Redemption Changes,We've refreshed our menu!,7/25/2023,Beta Testers,On Hold,Medium
61,20,Email Preferences Update.,Your membership level has been upgraded,7/4/2024,Support Team.,Resolved,Low
62,69,Feature Deactivation Notice,Try our seasonal drinks!,10/23/2023,Admins,Investigating,Low
63,52,Loyalty Tier Adjustment,Check out your coin balance,12/6/2023,Beta Testers,Open,Medium
64,2,Urgent Security Update,Order ahead and skip the line.,3/12/2025,Merchants,Dismissed,High
65,64,Urgent Security Update,Don't miss our spring event,11/14/2024,Admins,On Hold,Low
66,22,Limited Time Offer,Reminder: Update your payment info,3/25/2023,Support Team.,Closed,High
67,33,Subscription Reminder,Earn double coins this weekend,9/30/2024,Employees,Dismissed,High
68,43,Server Optimization,Stay safe: Avoid phishing scams,4/2/2023,Support Team.,Closed,Low
69,49,Rewards Expiry Notice,Important notice about reward items,8/14/2024,Admins,Open,High
70,47,New Store Opening,Community spotlight: Featured merchants,12/12/2024,Inactive Users,Closed,Medium
71,68,Payment System Upgrade,Don't miss our spring event,1/14/2025,Beta Testers,Open,Medium
72,3,Website Maintenance,New feature: Order tracking,2/12/2023,Admins,On Hold,Medium
73,30,Rewards Expiry Notice,Important notice about reward items,3/7/2024,Merchants,Investigating,Medium
74,77,Website Maintenance,New rewards program launched,9/22/2023,All Users,Resolved,Low
75,53,Account Verification Notice,We've refreshed our menu!,1/25/2025,Customers,On Hold,Medium
76,62,Service Interruption Notice,System maintenance scheduled tonight,10/26/2023,Admins,On Hold,High
77,5,Feature Deactivation Notice,CafeCoin turns one – celebrate with us!,9/3/2024,Admins,Closed,Medium
78,38,Order Delay Notice,Refer a friend and earn coins,3/13/2024,Beta Testers,Escalated,High
79,61,Payment System Upgrade,New amenities added near you,1/25/2024,Beta Testers,On Hold,Low
80,39,New Feature Launch,Order ahead and skip the line.,10/4/2023,Admins,Closed,Medium
81,23,Payment System Upgrade,New amenities added near you,3/21/2024,Loyalty Members,Escalated,Medium
82,53,App Version Release,Your membership level has been upgraded,4/22/2023,Beta Testers,Dismissed,Low
83,14,Point Redemption Changes,Order ahead and skip the line.,4/17/2024,Employees,Open,Low
84,80,Email Preferences Update.,Your feedback matters – take our survey,1/4/2024,All Users,Investigating,Low
85,32,Customer Support Downtime,Thank you for being a loyal customer,7/25/2023,All Users,Dismissed,High
86,78,Coin Balance Adjustment,Exclusive event invite,9/21/2024,Admins,Awaiting Customer Response,Low
87,1,Payment System Upgrade,Enjoy faster checkout with saved cards,3/20/2025,Admins,Investigating,High
88,68,Feature Testing Phase,System maintenance scheduled tonight,2/15/2023,Loyalty Members,Escalated,Medium
89,59,New Feature Launch,Account activity alert,8/23/2024,Employees,Open,High
90,8,Email Preferences Update.,System maintenance scheduled tonight,3/10/2025,Admins,Resolved,Medium
91,38,Email Preferences Update.,Account activity alert,9/12/2024,Beta Testers,Dismissed,High
92,45,New Feature Launch,Don't miss our spring event,9/6/2024,New Users,Escalated,Low
93,66,Rewards Expiry Notice,Account activity alert,2/7/2023,New Users,Awaiting Customer Response,High
94,71,New Feature Launch,Security settings changed,3/28/2024,Merchants,Dismissed,Medium
95,28,Terms & Conditions Update,Your order has shipped,6/25/2024,Loyalty Members,On Hold,Medium
96,42,Feature Testing Phase,Important notice about reward items,11/30/2024,Support Team.,Resolved,Low
97,29,Menu Update,Stay safe: Avoid phishing scams,7/14/2023,Inactive Users,Dismissed,Medium
98,51,Feedback Survey Launch,Your feedback matters – take our survey,8/29/2023,Loyalty Members,Dismissed,High
99,54,Feature Deactivation Notice,New rewards program launched,5/29/2023,All Users,Dismissed,Low
100,9,Loyalty Program Update,Important notice about reward items,12/19/2024,Merchants,Investigating,High
101,40,Holiday Schedule,Redeem your coins for special items,2/11/2025,All Users,Investigating,Medium
102,2,New Store Opening,App update now available,5/4/2023,All Users,On Hold,Medium
103,15,Mobile App Outage,Thank you for being a loyal customer,7/30/2024,All Users,Open,Medium
104,37,Staff Training Announcement,Upcoming service outage notice,11/22/2023,Employees,Escalated,High
105,44,Loyalty Program Update,Security settings changed,7/15/2023,Merchants,Investigating,High
106,33,Coin Balance Adjustment,App update now available,3/5/2025,Support Team.,Closed,Low
107,63,New Store Opening,Redeem your coins for special items,9/28/2024,Admins,Resolved,High
108,48,Email Preferences Update.,We've refreshed our menu!,10/8/2023,Beta Testers,Awaiting Customer Response,Low
109,7,Order Delay Notice,Your membership level has been upgraded,11/29/2024,New Users,On Hold,High
110,52,Loyalty Program Update,Stay safe: Avoid phishing scams,1/28/2024,All Users,Dismissed,Low
111,77,Server Optimization,Your account summary is ready,3/17/2023,Support Team.,Resolved,Low
112,46,Subscription Reminder,New merchant partners added,4/20/2023,Loyalty Members,Closed,Medium
113,12,Feature Deactivation Notice,Your order has shipped,3/4/2025,Loyalty Members,Investigating,Medium
114,79,Coin Balance Adjustment,Check out your coin balance,5/18/2023,New Users,On Hold,Low
115,34,Rewards Expiry Notice,Your account summary is ready,10/26/2023,Support Team.,Escalated,Low
116,72,Loyalty Tier Adjustment,Discount applied to your next purchase,2/6/2024,Merchants,Awaiting Customer Response,Medium
117,67,Subscription Reminder,New rewards program launched,1/20/2023,Merchants,Resolved,Medium
118,50,Email Preferences Update.,Account activity alert,6/1/2023,Inactive Users,Open,High
119,70,Subscription Reminder,Your favorite item is back!,12/27/2023,Merchants,Open,High
120,64,Coin Balance Adjustment,System maintenance scheduled tonight,3/20/2023,Beta Testers,On Hold,High
121,22,Terms & Conditions Update,System maintenance scheduled tonight,1/20/2023,All Users,Dismissed,Medium
122,16,Delivery Area Expansion,Refer a friend and earn coins,6/10/2024,New Users,Open,Medium
123,21,New Feature Launch,New merchant partners added,12/23/2024,New Users,Dismissed,High
124,57,Urgent Security Update,CafeCoin turns one – celebrate with us!,4/28/2023,Loyalty Members,Open,Low
125,60,Account Verification Notice,Your order has shipped,5/10/2023,Merchants,Open,Low
126,10,Staff Training Announcement,Try our seasonal drinks!,3/9/2023,Loyalty Members,Resolved,High
127,75,New Store Opening,Upcoming service outage notice,7/6/2024,Support Team.,On Hold,High
128,20,Temporary Feature Suspension,Welcome to CafeCoin!,3/31/2023,Merchants,Resolved,High
129,27,Mobile App Outage,System maintenance scheduled tonight,3/12/2025,All Users,On Hold,High
130,74,Policy Changes,Your feedback matters – take our survey,6/8/2024,Loyalty Members,Open,High
131,43,Policy Changes,Redeem your coins for special items,8/26/2024,Employees,Awaiting Customer Response,High
132,49,Point Redemption Changes,CafeCoin turns one – celebrate with us!,1/12/2025,Admins,Escalated,Low
133,36,App Version Release,Reminder: Update your payment info,10/1/2024,Support Team.,Closed,Medium
134,4,Scheduled Downtime,Security settings changed,10/1/2023,New Users,Awaiting Customer Response,High
135,76,Temporary Feature Suspension,Security settings changed,12/16/2023,New Users,Resolved,High
136,58,Mobile App Outage,Discount applied to your next purchase,6/12/2023,Employees,Open,Low
137,24,Holiday Schedule,Thank you for being a loyal customer,1/9/2025,Merchants,Investigating,Medium
138,6,Operating Hours Update,Stay safe: Avoid phishing scams,6/27/2023,All Users,Dismissed,Medium
139,55,Scheduled Downtime,Weekend flash sale starts now,5/15/2024,Customers,Escalated,High
140,25,Customer Support Downtime,Discount applied to your next purchase,8/26/2024,All Users,Escalated,Medium
141,18,Feature Testing Phase,Try our seasonal drinks!,2/18/2024,Beta Testers,Resolved,Low
142,41,Server Optimization,You're close to earning a reward!,7/30/2023,All Users,Open,High
143,56,Customer Support Downtime,Earn double coins this weekend,2/13/2023,Beta Testers,Investigating,Low
144,17,Coin Balance Adjustment,Reminder: Update your payment info,9/13/2023,Support Team.,Open,Medium
145,61,Feature Deactivation Notice,Discount applied to your next purchase,3/21/2024,Beta Testers,Investigating,High
146,13,System Maintenance,CafeCoin turns one – celebrate with us!,5/12/2024,New Users,Resolved,High
147,11,Mobile App Outage,Stay safe: Avoid phishing scams,4/10/2025,Merchants,Dismissed,High
148,73,App Version Release,Your order has shipped,7/25/2023,Admins,Dismissed,High
149,62,Transaction Delay Alert,New dashboard tools for merchants,6/13/2023,Employees,On Hold,High
150,19,Temporary Feature Suspension,New rewards program launched,6/20/2024,Loyalty Members,On Hold,Medium
151,31,Holiday Schedule,New rewards program launched,2/9/2025,New Users,Dismissed,High
152,3,Reward Limit Update,Check out your coin balance,1/16/2024,Merchants,Awaiting Customer Response,High
153,26,Order Delay Notice,Your account summary is ready,10/12/2024,Admins,Resolved,Medium
154,39,Payment System Upgrade,App update now available,4/29/2023,Employees,Resolved,High
155,47,Bug Fix Announcement,Check out your coin balance,10/27/2023,Admins,Escalated,Low
156,35,Order Delay Notice,Limited-time offer available,8/12/2024,Beta Testers,Escalated,Low
157,5,Point Redemption Changes,Redeem your coins for special items,2/16/2024,Admins,Resolved,Medium
158,69,Bug Fix Announcement,Exclusive event invite,2/16/2024,New Users,Closed,Low
159,30,Feedback Survey Launch,Check out your coin balance,12/21/2024,Admins,Dismissed,Medium
160,65,Staff Training Announcement,Try our seasonal drinks!,8/10/2024,Loyalty Members,Dismissed,Low
161,31,Menu Update,Refer a friend and earn coins,8/13/2023,Support Team.,Dismissed,Low
162,76,New Store Opening,Community spotlight: Featured merchants,8/8/2023,Merchants,Resolved,Low
163,78,Loyalty Program Update,Your order has shipped,12/27/2023,Beta Testers,Investigating,Medium
164,56,Data Usage Policy,Enjoy faster checkout with saved cards,10/9/2024,Customers,Resolved,Low
165,74,Transaction Delay Alert,Limited-time offer available,6/4/2023,Beta Testers,Dismissed,Low
166,69,Staff Training Announcement,Community spotlight: Featured merchants,9/4/2023,Beta Testers,Closed,Low
167,20,Promo Code Alert,System maintenance scheduled tonight,4/5/2024,Inactive Users,Resolved,High
168,6,Subscription Reminder,Upcoming service outage notice,5/22/2023,New Users,Resolved,High
169,35,Promo Code Alert,Account activity alert,9/14/2024,Employees,Dismissed,High
170,30,Rewards Expiry Notice,Your favorite item is back!,4/11/2023,New Users,Awaiting Customer Response,Medium
171,13,App Version Release,Try our seasonal drinks!,8/13/2023,Beta Testers,Resolved,High
172,37,Policy Changes,Exclusive event invite,2/9/2023,Beta Testers,Escalated,Medium
173,1,Delivery Area Expansion,Don't miss our spring event,4/29/2023,Loyalty Members,Closed,High
174,73,Point Redemption Changes,Redeem your coins for special items,8/19/2023,All Users,Investigating,Low
175,62,Transaction Delay Alert,Try our seasonal drinks!,1/6/2025,Support Team.,Awaiting Customer Response,Medium
176,9,Transaction Delay Alert,New shop locations added,9/8/2024,Support Team.,Closed,High
177,36,Feature Testing Phase,CafeCoin turns one – celebrate with us!,8/11/2023,Merchants,Closed,High
178,15,New Store Opening,Welcome to CafeCoin!,7/14/2023,Admins,Awaiting Customer Response,Low
179,33,Server Optimization,Weekend flash sale starts now,12/13/2024,Inactive Users,Open,High
180,41,Loyalty Tier Adjustment,New shop locations added,12/15/2023,Inactive Users,Closed,Medium
181,32,Feedback Survey Launch,Important notice about reward items,2/25/2025,All Users,Awaiting Customer Response,Low
182,26,System Maintenance,You're close to earning a reward!,4/18/2024,Inactive Users,Resolved,High
183,18,Promo Code Alert,You're close to earning a reward!,7/26/2023,Beta Testers,Resolved,Low
184,5,Customer Support Downtime,Limited-time offer available,5/29/2023,All Users,Investigating,High
185,39,Operating Hours Update,Discount applied to your next purchase,4/3/2023,All Users,Closed,Medium
186,2,Data Usage Policy,Enjoy faster checkout with saved cards,6/14/2024,Customers,Investigating,Medium
187,42,Email Preferences Update.,Account activity alert,2/22/2023,Support Team.,Resolved,Medium
188,55,Staff Training Announcement,Redeem your coins for special items,1/13/2025,Loyalty Members,Investigating,Medium
189,53,App Version Release,New dashboard tools for merchants,4/16/2023,Inactive Users,Investigating,Medium
190,50,Data Usage Policy,Don't miss our spring event,5/21/2024,Merchants,Dismissed,Medium
191,19,Order Delay Notice,Check out your coin balance,1/15/2025,Employees,On Hold,High
192,68,Terms & Conditions Update,New feature: Order tracking,8/26/2024,Inactive Users,On Hold,Medium
193,34,Feature Deactivation Notice,Upcoming service outage notice,3/30/2025,Inactive Users,Closed,Low
194,65,Coin Balance Adjustment,We've updated our terms of service,1/23/2024,Support Team.,Awaiting Customer Response,Low
195,7,Terms & Conditions Update,Stay safe: Avoid phishing scams,11/10/2023,New Users,Investigating,High
196,79,Policy Changes,Thank you for being a loyal customer,11/12/2024,Merchants,Open,High
197,17,Reward Limit Update,Community spotlight: Featured merchants,1/31/2023,Admins,Open,Low
198,38,Maintenance Completed,Your membership level has been upgraded,6/9/2024,Inactive Users,Resolved,High
199,63,Staff Training Announcement,New merchant partners added,3/21/2024,Loyalty Members,Dismissed,High
200,61,Holiday Schedule,View your transaction history online,2/2/2025,Admins,Investigating,Medium
201,67,Feedback Survey Launch,Account activity alert,4/8/2025,Merchants,Investigating,High
202,70,Account Verification Notice,We've updated our terms of service,3/29/2024,All Users,Closed,High
203,80,Website Maintenance,Upcoming service outage notice,9/18/2023,Support Team.,Open,Low
204,43,Maintenance Completed,Your membership level has been upgraded,9/11/2023,Merchants,Open,High
205,71,Reward Limit Update,Redeem your coins for special items,1/27/2025,Admins,Investigating,High
206,57,Feedback Survey Launch,View your transaction history online,8/31/2024,Customers,Open,High
207,54,Urgent Security Update,New merchant partners added,1/9/2024,New Users,Dismissed,Low
208,75,Coin Balance Adjustment,New shop locations added,6/8/2023,Loyalty Members,Investigating,Low
209,52,Holiday Schedule,Your order has shipped,2/3/2023,Admins,Awaiting Customer Response,Low
210,16,App Version Release,New feature: Order tracking,10/18/2023,Inactive Users,On Hold,High
211,11,Limited Time Offer,System maintenance scheduled tonight,12/11/2024,Employees,Closed,Low
212,48,Operating Hours Update,You're close to earning a reward!,7/12/2024,Employees,Investigating,High
213,29,Staff Training Announcement,Security settings changed,1/23/2025,Inactive Users,Closed,Low
214,45,Bug Fix Announcement,New shop locations added,12/25/2024,Customers,On Hold,Low
215,3,Feature Testing Phase,CafeCoin turns one – celebrate with us!,11/29/2024,All Users,Investigating,Low
216,47,New Feature Launch,Redeem your coins for special items,7/11/2023,Customers,On Hold,Medium
217,49,Delivery Area Expansion,CafeCoin turns one – celebrate with us!,12/24/2024,Support Team.,Open,Low
218,14,Feedback Survey Launch,We've updated our terms of service,8/22/2024,Merchants,On Hold,Low
219,10,Delivery Area Expansion,Your favorite item is back!,10/2/2023,Inactive Users,Closed,High
220,72,Email Preferences Update.,Reminder: Update your payment info,3/12/2024,Customers,Dismissed,Low
221,22,Staff Training Announcement,Your membership level has been upgraded,2/10/2024,Support Team.,Dismissed,High
222,21,Temporary Feature Suspension,Account activity alert,3/31/2025,Support Team.,Investigating,Medium
223,58,New Feature Launch,Exclusive event invite,6/26/2023,Customers,Dismissed,Medium
224,40,Point Redemption Changes,New dashboard tools for merchants,7/9/2023,Support Team.,Awaiting Customer Response,Low
225,4,Auto-Reload Changes,Exclusive event invite,5/25/2023,Beta Testers,On Hold,Low
226,60,Loyalty Program Update,We've updated our terms of service,12/5/2024,All Users,Investigating,Low
227,27,Website Maintenance,Security settings changed,10/29/2024,All Users,Resolved,High
228,24,System Maintenance,Faster support now available,9/23/2024,All Users,Investigating,Medium
229,25,Feedback Survey Launch,New amenities added near you,1/29/2023,Inactive Users,Escalated,High
230,64,Policy Changes,Exclusive event invite,1/10/2023,Beta Testers,Investigating,Low
231,77,System Maintenance,Redeem your coins for special items,6/5/2023,Admins,Investigating,Medium
232,28,Feedback Survey Launch,Account activity alert,10/21/2023,Inactive Users,Closed,Low
233,51,New Feature Launch,New dashboard tools for merchants,8/25/2024,Beta Testers,Escalated,Low
234,66,Menu Update,Your membership level has been upgraded,6/22/2024,Employees,Dismissed,Low
235,23,Payment System Upgrade,Stay safe: Avoid phishing scams,8/11/2023,New Users,Awaiting Customer Response,Low
236,59,Delivery Area Expansion,Your order has shipped,8/7/2023,All Users,Dismissed,Low
237,46,Holiday Schedule,New rewards program launched,12/13/2023,Support Team.,Closed,Low
238,12,System Maintenance,Earn double coins this weekend,8/17/2024,Merchants,Escalated,High
239,8,Server Optimization,CafeCoin turns one – celebrate with us!,7/28/2024,Support Team.,Escalated,Low
240,44,Mobile App Outage,New shop locations added,12/28/2023,Beta Testers,Investigating,Medium
241,79,New Store Opening,We've refreshed our menu!,5/19/2024,Employees,On Hold,Low
242,52,Order Delay Notice,Limited-time offer available,1/8/2023,Admins,Awaiting Customer Response,High
243,70,Operating Hours Update,Discount applied to your next purchase,5/14/2023,Loyalty Members,Resolved,Medium
244,54,Mobile App Outage,New amenities added near you,9/14/2024,Support Team.,Investigating,Medium
245,4,Loyalty Tier Adjustment,App update now available,3/6/2025,All Users,Open,Low
246,45,Order Delay Notice,Stay safe: Avoid phishing scams,6/4/2024,Customers,Escalated,Low
247,22,Mobile App Outage,Your order has shipped,10/27/2023,Merchants,Investigating,High
248,42,Email Preferences Update.,New dashboard tools for merchants,1/25/2025,Employees,Open,Low
249,63,Auto-Reload Changes,New rewards program launched,3/5/2024,Customers,Closed,High
250,18,App Version Release,System maintenance scheduled tonight,12/15/2024,Customers,Awaiting Customer Response,Medium
251,59,Bug Fix Announcement,Your membership level has been upgraded,8/15/2024,All Users,Escalated,Medium
252,7,Promo Code Alert,Account activity alert,6/13/2023,Beta Testers,Investigating,Low
253,53,Loyalty Tier Adjustment,New rewards program launched,12/30/2023,Loyalty Members,Investigating,Low
254,38,Limited Time Offer,Limited-time offer available,5/29/2023,Admins,Investigating,Medium
255,51,Point Redemption Changes,Account activity alert,3/5/2024,Support Team.,Closed,Low
256,50,Server Optimization,New merchant partners added,3/21/2025,Support Team.,Open,Medium
257,36,New Feature Launch,Try our seasonal drinks!,10/27/2024,Support Team.,Escalated,High
258,57,Loyalty Program Update,Your favorite item is back!,9/19/2023,Support Team.,Investigating,Low
259,20,Order Delay Notice,Your account summary is ready,3/7/2023,Loyalty Members,Awaiting Customer Response,Low
260,11,Coin Balance Adjustment,Try our seasonal drinks!,5/31/2023,Inactive Users,Awaiting Customer Response,Medium
261,12,Temporary Feature Suspension,New amenities added near you,3/25/2023,Merchants,Awaiting Customer Response,Low
262,74,Server Optimization,Enjoy faster checkout with saved cards,8/25/2023,Inactive Users,Resolved,Low
263,47,Feature Testing Phase,Your favorite item is back!,1/19/2025,All Users,On Hold,Low
264,46,Delivery Area Expansion,Welcome to CafeCoin!,2/20/2023,Loyalty Members,Dismissed,Medium
265,10,Email Preferences Update.,New merchant partners added,11/14/2023,Beta Testers,Awaiting Customer Response,Low
266,13,Staff Training Announcement,Upcoming service outage notice,6/22/2024,Inactive Users,Open,High
267,37,Staff Training Announcement,Important notice about reward items,11/4/2023,Employees,Dismissed,High
268,6,Account Verification Notice,Try our seasonal drinks!,5/22/2023,Beta Testers,Escalated,Low
269,30,Coin Balance Adjustment,Exclusive event invite,2/29/2024,Inactive Users,Awaiting Customer Response,Low
270,1,Mobile App Outage,Faster support now available,8/22/2023,Support Team.,Open,Medium
271,76,New Feature Launch,Thank you for being a loyal customer,2/17/2023,Merchants,Awaiting Customer Response,Medium
272,41,Coin Balance Adjustment,New amenities added near you,11/30/2024,Beta Testers,Open,High
273,49,Rewards Expiry Notice,Community spotlight: Featured merchants,12/27/2023,Support Team.,On Hold,Low
274,80,Rewards Expiry Notice,Discount applied to your next purchase,12/18/2023,Employees,Investigating,High
275,35,Account Verification Notice,Stay safe: Avoid phishing scams,4/23/2024,Merchants,Investigating,High
276,39,Maintenance Completed,Enjoy faster checkout with saved cards,4/1/2023,Support Team.,Dismissed,Low
277,29,Feature Testing Phase,Community spotlight: Featured merchants,7/31/2023,Customers,Resolved,Low
278,31,Scheduled Downtime,CafeCoin turns one – celebrate with us!,10/11/2023,Support Team.,Resolved,Medium
279,23,System Maintenance,System maintenance scheduled tonight,1/30/2023,Beta Testers,Escalated,High
280,8,Bug Fix Announcement,Your favorite item is back!,1/2/2024,All Users,On Hold,High
281,40,Urgent Security Update,New amenities added near you,1/2/2024,Merchants,Escalated,Low
282,64,New Store Opening,Exclusive event invite,4/3/2024,Support Team.,Open,Low
283,44,Reward Limit Update,App update now available,9/27/2023,Customers,Closed,High
284,75,Data Usage Policy,Exclusive event invite,4/15/2024,Customers,Closed,High
285,58,Maintenance Completed,New merchant partners added,6/13/2023,Employees,On Hold,Medium
286,48,Loyalty Program Update,CafeCoin turns one – celebrate with us!,9/29/2023,Merchants,Open,Medium
287,5,Loyalty Tier Adjustment,Try our seasonal drinks!,8/31/2023,New Users,On Hold,High
288,2,Staff Training Announcement,Community spotlight: Featured merchants,10/8/2024,Loyalty Members,Resolved,Low
289,62,Delivery Area Expansion,View your transaction history online,9/15/2024,All Users,Closed,Medium
290,28,Holiday Schedule,Faster support now available,2/24/2024,Support Team.,On Hold,Low
291,3,Service Interruption Notice,Try our seasonal drinks!,6/20/2024,Beta Testers,Dismissed,High
292,27,Website Maintenance,Your order has shipped,10/31/2024,Inactive Users,Escalated,Medium
293,16,New Store Opening,Earn double coins this weekend,3/20/2025,Merchants,Closed,Low
294,72,Account Verification Notice,Don't miss our spring event,6/28/2023,Beta Testers,Escalated,Medium
295,33,Email Preferences Update.,Welcome to CafeCoin!,10/24/2024,Beta Testers,Closed,Low
296,34,Transaction Delay Alert,System maintenance scheduled tonight,11/11/2023,Beta Testers,Open,Low
297,9,Urgent Security Update,Account activity alert,8/13/2023,New Users,Closed,Low
298,68,Service Interruption Notice,Security settings changed,11/16/2023,Beta Testers,Dismissed,High
299,56,Subscription Reminder,We've updated our terms of service,2/20/2023,Admins,On Hold,Medium
300,32,Staff Training Announcement,Check out your coin balance,3/9/2024,Employees,Closed,Low
301,55,Menu Update,Earn double coins this weekend,11/13/2024,New Users,Investigating,Medium
302,43,Reward Limit Update,Try our seasonal drinks!,3/26/2024,Inactive Users,Open,High
303,21,Payment System Upgrade,System maintenance scheduled tonight,1/30/2023,New Users,On Hold,Medium
304,24,Service Interruption Notice,Limited-time offer available,4/2/2024,Admins,Awaiting Customer Response,Low
305,15,Feedback Survey Launch,New amenities added near you,6/19/2024,Support Team.,Awaiting Customer Response,Low
306,67,Service Interruption Notice,Refer a friend and earn coins,7/17/2024,Customers,Resolved,High
307,17,Promo Code Alert,Earn double coins this weekend,9/18/2024,New Users,Dismissed,High
308,26,App Version Release,Important notice about reward items,5/12/2023,Inactive Users,Awaiting Customer Response,High
